y_cov,rtg,date,n,rho_level_y,rho_level_self,rho_resy_y,rho_resy_self,rho_resself_y,rho_resself_self,slope_y,log_slope_y,slope_self,log_slope_self
duration,AAA,200307,24,0.9556521739130434,0.9956521739130434,0.5565217391304348,0.6834782608695652,0.8756521739130434,0.8191304347826085,0.38025800709001845,0.025844476719574048,0.9369463945742554,-0.07286093730365813
duration,AAA,200308,24,0.9426086956521739,0.9782608695652173,0.4260869565217391,0.5243478260869565,-0.25304347826086954,-0.3026086956521739,0.38025800709001845,0.025844476719574048,0.9369463945742554,-0.07286093730365813
duration,AAA,200309,26,0.9705982905982906,0.9897435897435896,0.45094017094017086,0.6020512820512819,0.3531623931623932,0.29025641025641025,0.38393617586364165,0.043789785622668574,0.9632095296027541,-0.10659521285263066
duration,AAA,200310,26,0.9439316239316239,0.9856410256410256,0.3989743589743589,0.5145299145299145,0.10153846153846154,0.11452991452991453,0.3848869495406495,0.056003343243862864,0.9599590278697266,-0.09330064098110001
duration,AAA,200311,25,0.8823076923076922,0.9415384615384615,0.18076923076923077,0.35230769230769227,-0.30999999999999994,-0.3230769230769231,0.3848869495406495,0.056003343243862864,0.9599590278697266,-0.09330064098110001
duration,AAA,200312,25,0.93,0.9607692307692307,0.11384615384615385,0.3946153846153846,0.2884615384615385,0.12692307692307694,0.3848869495406495,0.056003343243862864,0.9599590278697266,-0.09330064098110001
duration,AAA,200401,27,0.9662647036711045,0.9800030643868073,0.34615384615384615,0.5244200244200244,0.4157509157509158,0.21123321123321123,0.3857973629000906,0.05996785596083043,0.9704785808305721,-0.14488238273561177
duration,AAA,200402,28,0.9742747673782157,0.9859039369731732,0.43459222769567596,0.5307239682928881,0.35358511220580185,0.36376078074329465,0.38443238985046485,0.05832204288209038,0.9704335544631503,-0.208813577561523
duration,AAA,200403,29,0.7527093596059112,0.7866995073891624,-0.06748768472906402,0.06847290640394087,-0.5423645320197044,-0.6083743842364531,0.38443238985046485,0.05832204288209038,0.9704335544631503,-0.208813577561523
duration,AAA,200404,27,0.918192918192918,0.9615384615384616,0.09829059829059829,0.2973137973137973,0.24114774114774112,0.18192918192918192,0.38443238985046485,0.05832204288209038,0.9704335544631503,-0.208813577561523
duration,AAA,200405,31,0.948684348000965,0.972678702392488,0.16653225806451613,0.35967741935483877,0.1459677419354839,0.06411290322580646,0.3802211732270169,0.06330967753272307,0.9619190717170161,-0.197090634164725
duration,AAA,200406,33,0.966577540106952,0.9718392279272137,0.04812834224598931,0.20222278001580885,-0.1537433155080214,-0.3031670437592374,0.37786276565893984,0.08061636017000785,0.9701769669788995,-0.2341779250030148
duration,AAA,200407,34,0.9657754010695186,0.9871657754010694,-0.07165775401069518,0.06585179526355996,0.147440794499618,0.09671504965622613,0.37786276565893984,0.08061636017000785,0.9701769669788995,-0.2341779250030148
duration,AAA,200408,34,0.9660809778456838,0.9935828877005346,-0.29809014514896864,-0.13857906799083267,-0.08051948051948052,-0.10313216195569137,0.3835992491218207,0.08171223951999805,0.9915280699789014,-0.24010850228075667
duration,AAA,200409,33,0.9544580964217226,0.9949026524248845,-0.7038770053475937,-0.5718582887700535,-0.6727941176470589,-0.6784759358288771,0.38517043275141377,0.08018270847771389,0.9869741403865365,-0.2614140304877094
duration,AAA,200410,33,0.9656555561416063,0.9766003677085076,-0.8108288770053476,-0.7094509927000897,-0.02573529411764706,-0.04328570249925165,0.38733282287819937,0.08233572479136862,0.9871526269477305,-0.2778480892547719
duration,AAA,200411,34,0.952555583802249,0.9789899944531616,-0.8826585179526355,-0.7824293353705117,-0.46462948815889993,-0.5370511841100076,0.3896147705975057,0.09210230745940383,0.9895616280973042,-0.2558377603769479
duration,AAA,200412,34,0.9511803832481553,0.9860941320293399,-0.9184110007639419,-0.8099931263612004,-0.4811306340718105,-0.537245016465946,0.387205758015945,0.10414683749929589,0.9829797928117183,-0.20435361872484725
duration,AAA,200501,36,0.9371943371943372,0.9600360403430837,-0.8875160875160875,-0.7927151055735423,-0.45508365508365517,-0.5244867762968315,0.38516607596848473,0.10444960252331845,0.9842584788483216,-0.2520928101829732
duration,AAA,200502,36,0.8947232947232949,0.9619047619047619,-0.9521235521235523,-0.8198198198198199,-0.5217503217503218,-0.5145431145431145,0.38380579786844815,0.09655156005938728,0.9804645796866504,-0.2691607310290652
duration,AAA,200503,35,0.86218487394958,0.9711484593837536,-0.9422969187675071,-0.7047619047619048,0.0557422969187675,0.024369747899159664,0.38328259895350036,0.09782610865993764,0.9835865364654287,-0.20551330502504503
duration,AAA,200504,38,0.5848426891387422,0.7062493201978514,-0.9395995185468871,-0.7205777764246153,-0.47762337236021446,-0.5150735905285746,0.3698511459881568,0.06617986180324863,0.948468707719675,-0.16981419188753535
duration,AAA,200505,38,0.707626654995076,0.9408481658917974,-0.938724149250465,-0.5341723738185256,-0.30123645913119595,-0.2802736015876345,0.36637024075908065,0.07044481595577494,0.9488722550816904,-0.18596718368804654
duration,AAA,200506,38,0.7154738497645298,0.8972422903363995,-0.976802713644819,-0.5940474887843309,-0.10427836743626218,-0.17036874931611773,0.3660226630076888,0.06620927493929529,0.9542209041572675,-0.1917959206742366
duration,AAA,200507,43,0.751038286517862,0.8647485274127774,-0.9616430081546361,-0.5347730891935953,0.07475083056478406,-0.05572755433844583,0.36304811751645444,0.06352466738670243,0.9440280303076702,-0.17751334700123397
duration,AAA,200508,43,0.6836561336846567,0.9409854641406266,-0.9492600422832981,-0.5508570581286751,-0.1543340380549683,0.047874348849017145,0.3532220956662605,0.060516367167189104,0.9252898033891003,-0.1457158867853142
duration,AAA,200509,43,0.8439930553398495,0.7649612993936721,-0.982029598308668,-0.6086004459353141,0.052250075505889455,-0.34024238329832823,0.3444118042310851,0.06760080613296127,0.9284604644127896,-0.09541858385886345
duration,AAA,200510,43,0.7768045907580792,0.9132371845110623,-0.9630021141649048,-0.7385033623712739,0.10510419812745393,0.09944876566901512,0.3324165856439855,0.07923037121325728,0.9205280752556542,-0.1516459895836126
