regime,target,null_for_target,rejection_rate,rejection_rate_after_break,median_max_logM,median_terminal_logM,mean_E_t,share_dates_at_ceiling,median_delay_after_break
stable_relation,level,False,1.0,1.0,324.7114746278154,324.7114746278154,1000.999999999903,1.0,0.0
stable_relation,y,True,0.0,0.4,0.04939902649069694,-40.202643465550075,2.8788385395396983,0.006382978723404255,4.0
stable_relation,self,False,1.0,1.0,111.4918713267228,111.4918713267228,134.58695103732452,0.2,0.0
relation_break,level,False,1.0,1.0,317.64369206038197,317.64369206038197,933.9701545778241,0.9553191489361703,0.0
relation_break,y,False,1.0,1.0,94.34023815172387,78.06964741558386,271.07717559528663,0.30851063829787234,3.5
relation_break,self,False,1.0,0.8,53.43733858046057,53.43733858046057,104.12118152183521,0.14680851063829786,27.0
dispersion_break,level,False,1.0,1.0,256.36228962897985,256.36228962897985,841.1171474933146,0.8617021276595744,0.0
dispersion_break,y,False,0.1,0.4,0.4251212289377122,-54.54208397517454,73.42341163479948,0.09148936170212765,10.0
dispersion_break,self,False,1.0,1.0,67.7994060505329,67.0560792462739,229.30471361110784,0.2765957446808511,24.5
random_walk,level,False,0.9,1.0,144.1394667437039,144.1394667437039,246.77695181937952,0.28510638297872337,1.0
random_walk,y,False,1.0,1.0,112.0218086101773,112.0218086101773,243.92317501902806,0.2872340425531915,0.5
random_walk,self,True,0.0,0.2,-1.1982459346601786,-53.671737007834665,1.3101390527567607,0.002127659574468085,2.0
drift_subset,level,False,1.0,1.0,259.4381338145861,259.4381338145861,728.5427651784113,0.7382978723404254,1.0
drift_subset,y,False,1.0,1.0,238.9507119266501,238.9507119266501,635.9544888453489,0.6574468085106384,0.0
drift_subset,self,False,0.8,1.0,24.193451786076913,8.39781295553312,23.983826648732286,0.06808510638297872,4.5
